epoch,accuracy,loss
0,0.5046054,1.3625299341322459
1,0.52244735,1.309739052680611
2,0.5283852,1.2953918436823304
3,0.5307905,1.2872864292397663
4,0.53347397,1.2817840959837186
5,0.53472644,1.2776952921258349
6,0.535994,1.2745359958876996
7,0.5371248,1.2719346730648828
8,0.5375501,1.2697854245087625
9,0.5387544,1.267906260039006
10,0.5395259,1.2664293733392475
11,0.5398406,1.2650594445960477
12,0.5401807,1.2638884104408665
13,0.54065335,1.262696158751289
14,0.5413431,1.261628181355217
15,0.54163855,1.2607454570178531
16,0.541903,1.2600793664503487
17,0.54196554,1.2592424898155927
18,0.5426306,1.2586333873384614
19,0.5426917,1.2578260333747604
20,0.5429301,1.2574023778616537
21,0.5430531,1.2568916342530576
22,0.542882,1.256452918063402
23,0.5438198,1.2558975982704246
24,0.54373395,1.255508239542965
